Date;Libell�;D�bit euros;Cr�dit euros;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 GELATERIA DELLA PASS 01/06  


";4,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 PO9 FIRENZE          01/06  


";2,70;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 AUTOLINEE TOSCANE BO 02/06  


";1,70;;
02/06/2025;"VIREMENT EN VOTRE FAVEUR
C.P.A.M. ORLEANS 251500002886 251500002886 


251500002886                       ";;31,00;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 MAGA MAGO' I PELLEG  31/05  


";73,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 BIALETTI STORE FIREN 30/05  


";62,20;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 ANTICA PORTA FIRENZE 30/05  


";49,50;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 RISTORANTE DA QUE GA 30/05  


";48,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 PINE&APPLE FIRENZE   31/05  


";41,50;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 BIGLIETTERIA CAPPELL 30/05  


";18,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 Opera Medicea Firenz 30/05  


";18,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 BIGLIETTERIA M.SAN M 31/05  


";16,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 OPERA PER SANTA MARI 31/05  


";15,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 BIGL.PALAZZO PITTI O 31/05  


";10,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 GELATERIA DELLA PASS 31/05  


";8,00;;
02/06/2025;"VIREMENT EMIS           
WEB Revolut MR LOUIS CHANDELLIER 


Miam miam                          ";200,00;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 SAVERIO DI SABATINI  29/05  


";91,00;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN DAC ORLEANS   29/05  


";51,55;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 BIGLIETTERIA UFFIZI  29/05  


";25,00;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 CRF EXP TAS4640 FIRE 29/05  


";24,84;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 PO9 FIRENZE          29/05  


";16,00;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 CAFFETTERIE DELLE OB 29/05  


";15,00;;
30/05/2025;"PAIEMENT PAR CARTE      
X6977 AUTOLINEE TOSCANE BO 29/05  


";1,70;;
27/05/2025;"PAIEMENT PAR CARTE      
X6977 DOCTEUR KERVARRE ORL 26/05  


";80,00;;
27/05/2025;"PAIEMENT PAR CARTE      
X6977 PARKG ORLEANS GESTIO 26/05  


";0,50;;
27/05/2025;"VIREMENT EN VOTRE FAVEUR
APSIDE-CIC PARIS ETOILE ENTREPRI 14806 


25146-029-38                       ";;2�661,64;
26/05/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 24/05  


";63,99;;
26/05/2025;"PAIEMENT PAR CARTE      
X6977 POKSU ORLEANS        25/05  


";36,20;;
26/05/2025;"PAIEMENT PAR CARTE      
X6977 VUELING AIRLINES SA  23/05  


";474,80;;
26/05/2025;"PAIEMENT PAR CARTE      
X6977 Paris Aeroport Tremb 23/05  


";53,58;;
26/05/2025;"PAIEMENT PAR CARTE      
X6977 LOIRE FLEURS SAINT P 24/05  


";31,40;;
23/05/2025;"PAIEMENT PAR CARTE      
X6977 Sas maya vertical Sa 22/05  


";19,70;;
23/05/2025;"VIREMENT EN VOTRE FAVEUR
DE CHANDELLIER LOUIS  


";;550,00;
20/05/2025;"VIREMENT EN VOTRE FAVEUR
AXA FRANCE VIE I0000147252687 FRAIS DE SOINS :  SG 0963 


I0000147252687                     ";;20,54;
19/05/2025;"PAIEMENT PAR CARTE      
X6977 ORL LOIRET BASKE ORL 17/05  


";35,00;;
19/05/2025;"PAIEMENT PAR CARTE      
X6977 BOULANGERIE DU VAL O 17/05  


";4,70;;
19/05/2025;"VIREMENT EN VOTRE FAVEUR
C.P.A.M. ORLEANS 251350003023 251350003023 


251350003023                       ";;30,82;
19/05/2025;"PRELEVEMENT             
PREDICA CREDIT AGRICOLE ASSURANCE VIE PREDISSIME 9 SERIE 2 ECHEANCE 05/2025 - VERSEMENT REGULIER CONTRAT 84872054033649          -UCP432505160060404 
00/62000976042/15022024/01         
FR88ZZZ237434                      
84872054033649UCIX.35136GDE6009924R";50,00;;
19/05/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 17/05  


";70,38;;
16/05/2025;"PRELEVEMENT             
0224215 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE PROTECTION JURIDIQUE -ECHEANCE 05/2025 COTISATION DU CONTRAT PACIFICA 10514803906 
00000000000000000000010132278906PCK
FR80ZZZ224774                      
000483510423906                    ";6,50;;
15/05/2025;"CHEQUE EMIS             
2842426  


";379,84;;
14/05/2025;"PAIEMENT PAR CARTE      
X6977 TUDOR CAMELIA OLIVET 13/05  


";51,36;;
14/05/2025;"PAIEMENT PAR CARTE      
X6977 POKSU ORLEANS        13/05  


";36,20;;
12/05/2025;"PAIEMENT PAR CARTE      
X6977 AUX LEGUMES CEL FERO 09/05  


";30,00;;
12/05/2025;"PAIEMENT PAR CARTE      
X6977 NORTHMAEN LA CHAPELL 09/05  


";13,00;;
12/05/2025;"PAIEMENT PAR CARTE      
X6977 SumUp *lekatzam tave 09/05  


";11,50;;







